GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1997-2-24,10,7,3,8,4,1,93,82,66,992,987,975,10,8,3,58,34,77,0.00,5,Rain,221
1997-2-25,10,8,5,5,4,3,93,79,66,994,988,980,10,9,4,50,42,80,0.00,4,Rain,246
1997-2-26,8,6,4,4,2,0,93,76,66,1021,1005,994,10,10,6,58,40,77,0.00,4,Rain,269
1997-2-27,8,6,3,5,3,0,87,80,71,1029,1026,1022,10,10,10,37,26,52,0.00,2,,235
1997-2-28,11,8,6,9,6,3,94,84,76,1023,1020,1019,10,9,3,35,26,53,0.00,5,,228
1997-3-1,10,7,3,8,5,3,100,87,71,1022,1019,1012,10,9,1,39,21,61,0.00,6,Fog-Rain,217
1997-3-2,11,8,5,9,5,1,94,78,50,1028,1016,1009,10,9,5,45,35,69,0.00,5,Rain,248
1997-3-3,8,4,2,4,2,1,100,83,66,1032,1030,1027,10,10,10,19,11,,0.00,3,,215
1997-3-4,9,7,4,9,6,1,100,97,81,1028,1024,1022,10,3,0,26,18,,0.00,7,Fog-Rain,135
1997-3-5,10,8,6,9,7,5,100,92,82,1024,1022,1022,10,7,1,29,16,,0.00,5,Rain,231
1997-3-6,10,6,2,6,4,1,100,91,76,1033,1031,1026,10,6,4,21,16,,0.00,4,,78
1997-3-7,10,8,5,8,7,4,100,91,87,1029,1027,1026,10,8,5,24,14,,0.00,6,,212
1997-3-8,9,8,6,8,7,6,100,98,87,1036,1034,1029,10,5,2,23,13,,0.00,5,,16
1997-3-9,11,8,5,9,7,5,100,98,88,1036,1033,1031,1,1,0,21,11,,0.00,6,Fog,92
1997-3-10,14,8,3,10,6,3,100,92,77,1033,1032,1030,8,2,0,11,6,,0.00,1,Fog,200
1997-3-11,15,9,3,12,7,3,100,93,77,1034,1033,1030,5,3,1,16,10,,0.00,0,Fog,148
1997-3-12,13,8,4,11,7,4,100,94,82,1030,1028,1026,10,3,0,29,16,,0.00,3,Fog,232
1997-3-13,10,8,5,8,7,5,100,93,87,1030,1027,1022,10,7,1,35,21,,0.00,4,,250
1997-3-14,12,10,8,10,8,5,100,89,81,1022,1020,1018,10,9,5,32,24,,0.00,5,Rain,271
1997-3-15,15,11,8,12,10,7,100,88,77,1026,1023,1021,10,9,5,27,19,,0.00,4,,276
1997-3-16,13,10,8,10,8,7,100,91,82,1026,1026,1025,10,7,0,32,18,,0.00,5,Fog,271
1997-3-17,15,10,6,12,9,6,100,89,77,1027,1025,1021,10,8,6,29,18,,0.00,5,,250
1997-3-18,11,9,7,9,7,5,100,88,76,1020,1011,1005,10,8,3,47,23,66,0.00,6,Rain,252
1997-3-19,11,8,6,7,6,5,93,87,71,1018,1011,1003,10,10,10,42,32,61,0.00,5,Rain,322
1997-3-20,12,7,2,8,6,1,100,88,77,1020,1019,1018,10,10,8,24,21,,0.00,3,Rain,313
1997-3-21,9,6,3,5,3,2,100,86,76,1027,1024,1020,10,10,10,14,10,,0.00,3,,26
1997-3-22,12,6,1,8,4,0,93,85,76,1027,1023,1014,8,5,4,27,13,,0.00,0,,200
1997-3-23,10,8,5,8,6,3,93,89,82,1014,1009,1007,10,9,3,37,21,,0.00,5,Rain,280
1997-3-24,9,7,5,8,6,4,93,91,87,1013,1010,1009,10,9,3,26,14,,0.00,5,Rain,284
1997-3-25,12,8,4,9,6,3,93,86,71,1017,1016,1013,10,9,7,23,19,,0.00,6,,274
1997-3-26,12,10,8,12,9,7,100,93,87,1016,1013,1011,10,8,4,40,23,60,0.00,6,,228
1997-3-27,15,10,5,10,7,4,100,83,63,1019,1014,1008,10,8,5,48,24,72,0.00,3,Rain,251
1997-3-28,10,7,4,5,3,1,87,75,58,1025,1020,1013,10,10,10,48,39,66,0.00,4,,315
1997-3-29,11,7,3,7,4,1,93,84,71,1026,1026,1025,10,10,10,29,19,,0.00,5,,315
1997-3-30,12,7,2,6,4,1,93,79,67,1028,1026,1026,10,10,10,21,14,,0.00,4,,281
1997-3-31,15,8,2,8,4,2,100,80,59,1026,1025,1023,9,7,5,14,11,,0.00,0,,246
1997-4-1,15,9,3,7,4,1,87,76,59,1023,1022,1021,,,,19,13,,0.00,,,297
1997-4-2,14,10,6,9,7,4,93,82,67,1022,1020,1016,10,8,5,21,8,,0.00,6,,295
1997-4-3,11,8,5,7,5,2,93,80,66,1020,1015,1013,10,9,6,40,24,55,0.00,4,,301
1997-4-4,10,6,1,6,3,0,93,79,66,1028,1025,1021,10,10,10,32,21,42,0.00,3,,293
1997-4-5,14,11,9,10,8,6,88,82,72,1021,1017,1015,10,10,8,52,35,74,0.00,4,,282
1997-4-6,11,8,5,10,6,1,100,84,50,1031,1026,1020,10,9,5,24,14,,0.00,6,Rain,94
1997-4-7,13,7,2,6,3,1,93,82,62,1033,1031,1030,10,9,8,23,13,,0.00,3,,134
1997-4-8,15,8,1,5,1,-3,100,75,29,1030,1028,1026,8,7,4,19,13,,0.00,2,,121
1997-4-9,18,10,3,6,2,0,87,59,34,1031,1028,1026,8,7,7,10,3,,0.00,0,,98
1997-4-10,18,11,5,6,3,0,76,58,40,1033,1031,1030,8,6,5,23,11,,0.00,0,,314
1997-4-11,12,7,2,6,4,-1,93,77,62,1032,1029,1026,10,8,4,32,23,,0.00,5,,358
1997-4-12,11,6,0,3,-1,-2,93,67,44,1032,1030,1029,10,10,10,21,13,,0.00,1,,10
1997-4-13,14,10,6,7,4,2,87,72,51,1029,1027,1025,10,10,7,14,5,,0.00,4,,27
1997-4-14,12,9,6,8,6,4,93,84,72,1028,1026,1024,10,5,3,19,13,,0.00,5,,351
1997-4-15,10,7,4,5,1,0,93,69,50,1031,1030,1028,10,10,10,23,18,,0.00,4,,32
1997-4-16,12,7,2,3,1,-1,87,69,44,1031,1029,1026,10,10,10,21,10,,0.00,3,,40
1997-4-17,12,9,5,6,4,-1,93,77,41,1026,1025,1024,10,8,4,26,16,,0.00,5,Rain,47
1997-4-18,10,6,2,4,3,0,100,76,62,1026,1023,1020,10,8,0,19,8,,0.00,5,Fog,16
1997-4-19,7,6,4,5,1,-4,100,73,53,1020,1019,1018,10,9,1,34,21,48,0.00,5,Rain,29
1997-4-20,7,3,1,-2,-3,-5,75,59,43,1022,1021,1020,10,10,10,24,14,,0.00,6,,39
1997-4-21,12,4,-2,4,-1,-5,93,66,38,1020,1016,1014,10,9,6,21,10,,0.00,5,,328
1997-4-22,9,6,2,3,-1,-5,93,65,37,1018,1017,1016,10,10,10,19,10,,0.00,4,,50
1997-4-23,13,8,4,4,2,-2,81,61,44,1018,1017,1016,10,9,6,23,18,,0.00,6,,227
1997-4-24,15,10,5,5,3,1,93,70,41,1016,1015,1014,10,6,3,35,19,,0.00,3,,244
1997-4-25,10,8,7,9,6,4,100,88,71,1015,1014,1012,10,3,1,16,10,,0.00,6,Rain,168
1997-4-26,11,9,7,9,8,7,100,96,87,1013,1008,1004,7,2,0,19,14,,0.00,6,Fog-Rain,127
1997-4-27,15,11,8,9,8,6,100,81,55,1009,1007,1004,10,5,0,19,11,,0.00,5,Fog,267
1997-4-28,16,13,10,10,9,7,100,79,55,1007,1004,1002,10,9,6,52,29,71,0.00,6,Rain,252
1997-4-29,15,12,9,9,5,3,88,66,45,1020,1012,1005,10,10,10,47,32,61,0.00,5,Rain,313
1997-4-30,17,11,6,7,6,4,93,70,48,1028,1025,1021,10,10,10,19,13,,0.00,3,,331
1997-5-1,21,13,7,9,7,5,93,63,35,1029,1028,1026,8,7,6,11,8,,0.00,4,,208
1997-5-2,24,17,9,8,7,5,87,59,34,1027,1024,1020,10,7,6,14,8,,0.00,0,,198
1997-5-3,23,17,11,13,9,5,88,63,36,1020,1014,1010,10,7,4,19,8,,0.00,3,Rain,211
1997-5-4,17,13,11,13,10,7,94,78,55,1010,1000,994,10,9,3,37,21,58,0.00,5,Rain,228
1997-5-5,16,10,4,10,8,2,94,77,55,993,988,985,10,10,5,37,21,55,0.00,5,Rain,225
1997-5-6,8,6,3,3,-2,-8,93,65,32,1000,995,989,10,10,10,34,26,,0.00,4,Rain,334
1997-5-7,11,6,0,3,0,-3,100,74,38,1000,999,998,10,10,10,47,18,,0.00,3,Rain,262
1997-5-8,11,7,4,7,4,2,93,84,62,997,994,991,10,9,6,27,19,,0.00,5,Rain,232
1997-5-9,12,8,5,6,4,3,100,81,54,1002,996,991,10,8,3,27,18,55,0.00,4,Rain,274
1997-5-10,13,9,5,9,7,4,100,83,62,1002,1000,998,10,10,7,39,16,53,0.00,4,Rain,202
1997-5-11,13,10,7,8,6,5,93,82,62,1007,1002,1000,10,9,4,37,21,61,0.00,5,Rain,210
1997-5-12,13,9,6,8,6,5,93,81,62,1018,1013,1007,10,9,4,48,19,,0.00,3,Rain,222
1997-5-13,16,11,6,7,6,5,100,73,51,1019,1018,1017,10,10,6,21,13,,0.00,3,,211
1997-5-14,17,11,5,7,6,4,93,69,45,1022,1020,1019,10,10,10,19,11,,0.00,3,,266
1997-5-15,15,10,6,9,7,5,93,75,59,1022,1020,1018,10,8,5,24,13,,0.00,5,Fog-Rain,96
1997-5-16,21,14,8,16,12,8,100,90,68,1017,1014,1012,5,2,0,16,13,,0.00,5,Fog-Rain-Thunderstorm,51
1997-5-17,21,16,12,17,14,12,100,92,64,1012,1011,1009,6,2,0,21,10,,0.00,7,Fog,39
1997-5-18,18,16,12,15,12,10,100,84,64,1009,1009,1008,10,6,1,19,10,,0.00,5,Fog,202
1997-5-19,17,13,10,13,11,9,100,81,63,1009,1006,1004,10,7,0,16,8,,0.00,4,Fog-Rain,170
1997-5-20,16,12,9,12,10,8,100,87,63,1004,1002,1001,10,9,4,13,8,,0.00,4,Fog-Rain,155
1997-5-21,11,10,8,11,8,5,100,88,71,1014,1007,1002,10,5,0,24,14,,0.00,6,Fog,359
1997-5-22,12,9,6,7,5,3,93,77,58,1019,1016,1013,10,10,8,14,11,,0.00,6,Rain,24
1997-5-23,13,9,4,7,4,1,93,73,47,1026,1021,1019,10,10,8,26,16,,0.00,5,Rain,47
1997-5-24,14,7,1,3,2,0,93,67,44,1030,1028,1026,10,10,10,27,18,,0.00,3,,48
1997-5-25,16,9,3,6,4,2,100,69,45,1031,1029,1028,10,10,10,19,13,,0.00,2,,41
1997-5-26,21,13,5,11,7,4,100,65,37,1028,1025,1023,10,9,7,26,11,,0.00,3,Fog,311
1997-5-27,16,11,7,10,7,3,100,74,54,1028,1026,1024,10,8,0,27,16,,0.00,3,Fog,38
1997-5-28,15,10,5,6,4,3,93,69,48,1030,1029,1028,10,10,10,23,14,,0.00,5,,66
1997-5-29,21,12,4,9,7,4,100,72,38,1029,1028,1027,8,5,3,14,10,,0.00,3,,107
1997-5-30,22,14,8,11,7,1,87,59,32,1029,1028,1026,10,10,10,19,11,,0.00,0,Fog,102
1997-5-31,21,14,8,8,4,1,87,55,28,1027,1025,1024,9,8,7,34,19,,0.00,0,,77
1997-6-1,18,12,7,7,2,-2,93,53,27,1025,1022,1019,10,10,10,47,27,66,0.00,1,,50
1997-6-2,20,14,9,8,6,0,87,61,32,1019,1017,1017,10,10,10,52,31,61,0.00,4,,51
1997-6-3,19,14,9,9,8,7,93,71,49,1019,1018,1017,10,9,6,32,26,,0.00,2,,30
1997-6-4,21,14,8,9,8,6,100,73,40,1019,1016,1013,9,5,2,19,13,,0.00,5,,70
1997-6-5,25,18,10,15,9,4,94,66,26,1012,1006,1001,10,7,5,37,19,,0.00,5,Rain,100
1997-6-6,24,19,14,16,13,10,94,72,46,1006,1004,1003,10,9,3,40,18,42,0.00,4,Rain-Thunderstorm,171
1997-6-7,22,18,15,16,13,10,94,75,46,1008,1006,1004,10,9,5,26,18,40,0.00,4,Rain,187
1997-6-8,19,16,13,14,12,10,94,76,56,1017,1011,1008,10,10,5,29,16,48,0.00,4,Rain,215
1997-6-9,21,14,9,12,9,6,87,67,46,1022,1021,1017,10,10,7,14,11,,0.00,3,,220
1997-6-10,23,17,12,13,12,10,88,70,49,1022,1017,1011,10,8,5,34,14,,0.00,5,Rain,99
1997-6-11,22,18,15,17,15,12,100,87,60,1011,1007,1004,10,5,1,42,16,,0.00,6,Fog-Rain-Thunderstorm,165
1997-6-12,19,16,13,14,13,12,94,81,64,1006,1005,1004,10,8,2,24,13,,0.00,5,,214
1997-6-13,20,17,13,13,12,10,94,75,56,1006,1004,1003,10,9,5,24,14,,0.00,4,Rain,239
1997-6-14,16,13,11,13,10,8,94,83,63,1015,1009,1004,10,8,4,23,14,,0.00,5,Rain,325
1997-6-15,16,12,9,11,10,8,100,89,68,1020,1017,1015,10,7,2,14,10,,0.00,5,Rain,100
1997-6-16,16,13,11,12,11,9,94,84,68,1020,1019,1019,10,8,4,21,11,,0.00,5,Rain,81
1997-6-17,18,13,9,10,8,7,94,72,52,1022,1021,1020,10,10,8,14,11,,0.00,4,,62
1997-6-18,19,14,10,12,9,6,94,78,52,1021,1016,1012,10,8,1,23,13,,0.00,3,Rain,210
1997-6-19,14,12,11,11,9,8,100,84,67,1011,1005,1002,10,9,3,23,13,,0.00,6,Rain,201
1997-6-20,14,11,8,12,9,7,94,87,63,1002,997,990,10,8,3,24,14,,0.00,5,Rain,210
1997-6-21,15,12,10,11,9,7,94,82,59,992,990,989,10,9,4,34,21,45,0.00,4,Rain,216
1997-6-22,15,12,10,12,11,9,94,86,67,1002,995,991,10,9,5,26,18,,0.00,5,Rain,283
1997-6-23,16,13,10,12,11,6,94,85,68,1013,1008,1003,10,8,4,29,16,,0.00,5,Rain-Thunderstorm,323
1997-6-24,16,12,9,9,7,5,87,73,55,1015,1014,1012,10,10,10,21,14,,0.00,4,,289
1997-6-25,14,12,10,13,11,8,100,94,82,1011,1002,996,10,6,3,26,13,,0.00,6,Rain,159
1997-6-26,13,12,11,13,12,10,100,96,88,998,995,993,8,3,0,32,14,,0.00,6,Fog-Rain,37
1997-6-27,11,10,10,11,11,10,100,98,94,1002,999,997,8,5,3,45,34,69,0.00,6,Rain,15
1997-6-28,17,13,10,13,11,9,100,91,77,1007,1003,1000,10,6,2,24,16,,0.00,5,Rain,265
1997-6-29,15,13,11,13,12,10,100,91,77,1008,1007,1006,10,5,0,26,13,,0.00,6,Fog,21
1997-6-30,13,11,10,10,9,8,100,89,77,1006,1003,1002,10,8,4,21,16,,0.00,5,Rain,330
1997-7-1,17,13,10,10,9,8,94,79,55,1005,1003,1002,10,9,6,19,11,,0.00,5,,240
1997-7-2,16,12,9,10,8,6,100,79,52,1005,1005,1003,10,7,1,19,10,,0.00,4,Fog-Rain,200
1997-7-3,14,11,9,11,9,8,100,88,77,1012,1007,1005,10,9,4,24,13,,0.00,6,Rain,214
1997-7-4,17,13,11,12,11,9,100,81,68,1020,1016,1012,10,9,3,23,10,,0.00,5,Rain,317
1997-7-5,19,14,11,13,11,9,94,80,59,1028,1025,1021,10,7,3,16,13,,0.00,5,,348
1997-7-6,22,16,11,15,12,8,88,73,57,1028,1028,1028,10,10,10,21,11,,0.00,4,,322
1997-7-7,23,18,13,15,13,12,94,71,53,1029,1028,1026,10,10,10,16,10,,0.00,4,,352
1997-7-8,25,20,16,17,16,14,94,76,54,1027,1024,1023,10,7,4,21,5,,0.00,3,,115
1997-7-9,24,19,14,16,14,13,94,73,50,1023,1021,1019,10,9,8,16,8,,0.00,2,Fog,130
1997-7-10,20,16,12,13,12,11,100,79,56,1019,1017,1016,10,7,2,21,14,,0.00,4,,76
1997-7-11,22,16,11,15,13,10,100,83,57,1016,1016,1015,10,4,0,13,10,,0.00,4,Fog,43
1997-7-12,22,17,12,16,13,10,100,79,46,1016,1015,1014,10,5,0,19,6,,0.00,1,Fog,208
1997-7-13,23,18,14,17,13,10,94,79,44,1016,1015,1014,10,9,7,23,10,,0.00,4,Rain-Thunderstorm,212
1997-7-14,22,18,14,14,13,9,94,76,53,1019,1018,1016,10,9,4,24,11,,0.00,3,,261
1997-7-15,23,18,14,16,13,10,88,74,53,1020,1019,1018,10,10,10,23,18,,0.00,4,Rain,237
1997-7-16,20,17,14,14,13,11,94,74,56,1018,1017,1016,10,10,10,27,19,,0.00,5,,278
1997-7-17,17,16,14,16,13,10,94,84,68,1016,1014,1012,10,7,1,24,13,,0.00,6,Rain,303
1997-7-18,19,14,11,14,12,10,100,85,64,1023,1019,1016,10,8,4,32,21,52,0.00,4,Rain,342
1997-7-19,21,17,13,13,12,10,94,74,56,1027,1026,1023,10,9,5,23,16,,0.00,3,,21
1997-7-20,22,16,11,13,11,9,100,72,43,1027,1026,1024,10,6,0,13,8,,0.00,4,Fog,30
1997-7-21,21,16,11,14,12,9,100,79,49,1025,1024,1022,10,6,0,19,8,,0.00,1,Fog,30
1997-7-22,23,17,12,13,11,8,100,72,41,1022,1021,1019,10,5,1,13,8,,0.00,4,Fog,18
1997-7-23,25,20,15,14,12,9,82,63,36,1020,1019,1017,10,9,7,13,5,,0.00,2,Fog,225
1997-7-24,23,19,16,16,12,8,94,64,53,1016,1013,1009,10,9,5,27,14,,0.00,3,Rain,238
1997-7-25,22,17,13,13,11,9,88,65,43,1015,1011,1009,10,10,10,34,24,,0.00,5,,306
1997-7-26,19,16,12,18,14,9,94,85,64,1016,1014,1011,10,7,1,27,13,,0.00,5,Fog-Rain,227
1997-7-27,22,18,14,14,11,9,88,65,46,1021,1018,1012,10,10,10,32,23,,0.00,3,Rain,297
1997-7-28,22,17,12,13,12,10,88,68,50,1022,1022,1021,10,10,10,16,11,,0.00,4,,289
1997-7-29,26,20,14,14,12,10,82,61,39,1022,1020,1016,10,10,10,21,8,,0.00,3,,208
1997-7-30,22,18,14,15,12,9,100,69,46,1017,1015,997,10,9,5,37,19,40,0.00,4,Rain,256
1997-7-31,16,14,13,14,12,10,100,89,77,1016,1015,1015,10,7,3,32,21,,0.00,5,Rain,260
1997-8-1,22,18,14,19,16,13,100,91,78,1015,1013,1012,10,7,4,27,18,,0.00,6,Rain,264
1997-8-2,20,16,12,15,11,9,94,72,52,1019,1018,1016,10,10,10,19,11,,0.00,5,,340
1997-8-3,19,16,12,14,13,11,100,82,64,1019,1019,1018,10,8,0,21,11,,0.00,4,Fog-Rain,88
1997-8-4,20,17,13,15,13,11,100,79,64,1020,1019,1019,10,10,7,32,21,,0.00,5,Rain,78
1997-8-5,23,18,14,14,12,9,94,71,44,1021,1019,1017,10,10,10,32,23,48,0.00,4,,70
1997-8-6,26,20,14,16,14,11,100,72,41,1017,1015,1014,10,6,1,34,18,,0.00,4,,75
1997-8-7,27,21,15,17,14,11,100,67,41,1017,1016,1015,9,6,4,27,18,,0.00,3,,66
1997-8-8,29,22,15,18,16,14,94,67,40,1018,1017,1016,8,5,4,14,8,,0.00,0,,43
1997-8-9,28,23,18,18,17,14,94,74,42,1020,1019,1018,9,4,3,13,11,,0.00,1,,283
1997-8-10,30,24,18,18,14,10,88,60,33,1019,1017,1014,10,6,5,29,11,,0.00,1,,126
1997-8-11,30,25,20,18,16,15,78,64,40,1018,1015,1013,9,7,4,19,16,,0.00,4,,115
1997-8-12,29,23,18,22,18,16,94,77,58,1022,1020,1019,10,7,5,19,11,,0.00,1,,278
1997-8-13,26,22,19,20,18,17,100,83,65,1023,1021,1020,10,8,2,26,13,,0.00,5,Rain-Thunderstorm,252
1997-8-14,29,22,15,19,16,7,100,79,25,1024,1022,1021,10,9,7,16,11,,0.00,2,,285
1997-8-15,28,21,15,20,17,13,88,76,58,1022,1021,1020,10,10,10,14,10,,0.00,2,,232
1997-8-16,28,21,14,20,17,14,100,81,58,1021,1020,1017,9,7,5,19,8,,0.00,0,Fog,168
1997-8-17,26,21,17,20,18,16,94,81,65,1019,1018,1018,8,6,4,16,5,,0.00,2,,211
1997-8-18,29,23,17,22,18,16,100,77,58,1019,1018,1018,10,7,4,34,8,,0.00,3,,155
1997-8-19,29,22,16,22,18,15,100,77,55,1019,1018,1017,10,5,1,19,11,,0.00,0,Fog,127
1997-8-20,27,21,16,20,17,14,94,76,61,1018,1017,1017,9,7,5,19,11,,0.00,3,,145
1997-8-21,24,20,17,20,18,15,94,83,73,1017,1017,1016,10,9,5,23,13,,0.00,3,Rain,218
1997-8-22,25,22,19,20,18,18,100,85,65,1019,1018,1017,10,10,6,14,10,,0.00,5,Rain,255
1997-8-23,25,22,19,21,19,17,100,88,78,1018,1014,1012,10,9,5,24,11,,0.00,5,,217
1997-8-24,23,20,17,20,18,17,100,91,78,1013,1012,1011,10,9,4,21,11,,0.00,5,Rain,241
1997-8-25,20,18,16,18,17,14,100,91,78,1011,1009,1008,10,8,1,32,8,,0.00,5,Fog-Rain,271
1997-8-26,20,16,11,13,12,10,100,76,56,1012,1010,1007,10,10,10,21,13,,0.00,4,,225
1997-8-27,18,16,13,16,13,10,94,89,77,1006,1000,997,10,7,4,27,14,,0.00,4,Rain,163
1997-8-28,18,14,11,13,12,9,100,84,56,999,996,994,10,9,3,32,11,,0.00,4,Fog-Rain-Thunderstorm,192
1997-8-29,19,16,13,13,10,6,94,70,43,1011,1006,998,10,10,10,37,27,52,0.00,5,Rain,237
